AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2021;febrero;FUERA TERMINO MUNICIPAL;0;0;0;0;1;0;0;1
2021;enero;CENTRO;15;160;45;40;49;96;22;427
2021;enero;ARGANZUELA;4;27;21;21;36;33;8;150
2021;enero;RETIRO;2;27;22;8;35;25;5;124
2021;enero;SALAMANCA;10;81;39;19;65;44;12;270
2021;enero;CHAMARTIN;11;27;31;18;71;47;12;217
2021;enero;TETUAN;12;71;42;14;36;51;14;240
2021;enero;CHAMBERI;7;68;35;16;37;42;10;215
2021;enero;FUENCARRAL;22;30;51;35;128;81;23;370
2021;enero;MONCLOA;7;26;42;30;97;55;11;268
2021;enero;LATINA;11;28;44;24;134;71;12;324
2021;enero;CARABANCHEL;27;36;38;36;68;66;5;276
2021;enero;USERA;14;23;23;16;54;35;10;175
2021;enero;PUENTE VALLECAS;28;46;53;29;74;63;20;313
2021;enero;MORATALAZ;5;3;12;13;31;15;3;82
2021;enero;CIUDAD LINEAL;7;46;46;11;145;64;13;332
2021;enero;HORTALEZA;16;30;35;25;111;44;7;268
2021;enero;VILLAVERDE;20;25;25;37;68;48;4;227
2021;enero;VILLA DE VALLECAS;17;16;32;19;22;39;5;150
2021;enero;VICALVARO;7;15;18;9;13;21;2;85
2021;enero;SAN BLAS;11;27;30;23;89;39;3;222
2021;enero;BARAJAS;3;12;7;12;16;19;3;72
